"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:30:12,290 ms
2022-04-18 15:30:14,286 ms
2022-04-18 15:30:16,282 ms
2022-04-18 15:30:18,290 ms
2022-04-18 15:30:20,258 ms
2022-04-18 15:30:22,260 ms
2022-04-18 15:30:24,267 ms
2022-04-18 15:30:26,273 ms
2022-04-18 15:30:28,289 ms
2022-04-18 15:30:30,291 ms
2022-04-18 15:30:32,309 ms
2022-04-18 15:30:34,300 ms
2022-04-18 15:30:36,275 ms
2022-04-18 15:30:38,292 ms
2022-04-18 15:30:40,288 ms
2022-04-18 15:30:42,269 ms
2022-04-18 15:30:44,272 ms
2022-04-18 15:30:46,256 ms
2022-04-18 15:30:48,265 ms
2022-04-18 15:30:50,269 ms
2022-04-18 15:30:52,264 ms
2022-04-18 15:30:54,294 ms
2022-04-18 15:30:56,302 ms
2022-04-18 15:30:58,317 ms
2022-04-18 15:31:00,303 ms
2022-04-18 15:31:02,304 ms
2022-04-18 15:31:04,273 ms
2022-04-18 15:31:06,273 ms
2022-04-18 15:31:08,283 ms
2022-04-18 15:31:10,282 ms
2022-04-18 15:31:12,271 ms
2022-04-18 15:31:14,263 ms
2022-04-18 15:31:16,266 ms
